studyName,Sample Number,Species,Region,Island,Stage,,,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex
PAL0708,7,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/28/07,46.1,18.2,178,3250,FEMALE
PAL0708,8,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/28/07,51.3,18.2,197,3750,MALE
PAL0708,9,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/21/07,46,18.9,195,4150,FEMALE
PAL0708,10,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/21/07,51.3,19.9,198,3700,MALE
PAL0708,11,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/28/07,46.6,17.8,193,3800,FEMALE
PAL0708,12,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/28/07,51.7,20.3,194,3775,MALE
PAL0708,13,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/26/07,47,17.3,185,3700,FEMALE
PAL0708,14,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/26/07,52,18.1,201,4050,MALE
PAL0708,15,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/22/07,45.9,17.1,190,3575,FEMALE
PAL0708,16,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/22/07,50.5,19.6,201,4050,MALE
PAL0708,17,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/30/07,50.3,20,197,3300,MALE
PAL0708,18,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/30/07,58,17.8,181,3700,FEMALE
PAL0708,19,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/30/07,46.4,18.6,190,3450,FEMALE
PAL0708,20,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/30/07,49.2,18.2,195,4400,MALE
PAL0708,21,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,12/03/2007,42.4,17.3,181,3600,FEMALE
PAL0708,22,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,12/03/2007,48.5,17.5,191,3400,MALE
PAL0708,23,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/28/07,43.2,16.6,187,2900,FEMALE
PAL0708,24,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/28/07,50.6,19.4,193,3800,MALE
PAL0708,25,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/28/07,46.7,17.9,195,3300,FEMALE
PAL0708,26,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/28/07,52,19,197,4150,MALE
PAL0809,27,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/25/08,50.5,18.4,200,3400,FEMALE
PAL0809,28,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/25/08,49.5,19,200,3800,MALE
PAL0809,29,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/14/08,46.4,17.8,191,3700,FEMALE
PAL0809,30,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/14/08,52.8,20,205,4550,MALE
PAL0809,31,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/24/08,40.9,16.6,187,3200,FEMALE
PAL0809,32,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/24/08,54.2,20.8,201,4300,MALE
PAL0809,33,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/24/08,42.5,16.7,187,3350,FEMALE
PAL0809,34,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/24/08,51,18.8,203,4100,MALE
PAL0809,35,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/25/08,49.7,18.6,195,3600,MALE
PAL0809,36,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/25/08,47.5,16.8,199,3900,FEMALE
PAL0809,37,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/14/08,47.6,18.3,195,3850,FEMALE
PAL0809,38,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/14/08,52,20.7,210,4800,MALE
PAL0809,39,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/24/08,46.9,16.6,192,2700,FEMALE
PAL0809,40,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/24/08,53.5,19.9,205,4500,MALE
PAL0809,41,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/24/08,49,19.5,210,3950,MALE
PAL0809,42,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/24/08,46.2,17.5,187,3650,FEMALE
PAL0809,43,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/14/08,50.9,19.1,196,3550,MALE
PAL0809,44,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/14/08,45.5,17,196,3500,FEMALE
PAL0910,45,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/17/09,50.9,17.9,196,3675,FEMALE
PAL0910,46,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/17/09,50.8,18.5,201,4450,MALE
PAL0910,47,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/27/09,50.1,17.9,190,3400,FEMALE
PAL0910,48,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/27/09,49,19.6,212,4300,MALE
PAL0910,49,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/23/09,51.5,18.7,187,3250,MALE
PAL0910,50,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",,,11/23/09,49.8,17.3,198,3675,FEMALE
PAL0708,1,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,46.1,13.2,211,4500,FEMALE
PAL0708,2,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,50,16.3,230,5700,MALE
PAL0708,3,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,48.7,14.1,210,4450,FEMALE
PAL0708,4,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,50,15.2,218,5700,MALE
PAL0708,5,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/18/07,47.6,14.5,215,5400,MALE
PAL0708,6,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/18/07,46.5,13.5,210,4550,FEMALE
PAL0708,7,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,45.4,14.6,211,4800,FEMALE
PAL0708,8,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,46.7,15.3,219,5200,MALE
PAL0708,9,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,43.3,13.4,209,4400,FEMALE
PAL0708,10,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,46.8,15.4,215,5150,MALE
PAL0708,11,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,40.9,13.7,214,4650,FEMALE
PAL0708,12,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,49,16.1,216,5550,MALE
PAL0708,13,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/29/07,45.5,13.7,214,4650,FEMALE
PAL0708,14,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/29/07,48.4,14.6,213,5850,MALE
PAL0708,15,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,12/03/2007,45.8,14.6,210,4200,FEMALE
PAL0708,16,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,12/03/2007,49.3,15.7,217,5850,MALE
PAL0708,17,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,42,13.5,210,4150,FEMALE
PAL0708,18,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,49.2,15.2,221,6300,MALE
PAL0708,19,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,46.2,14.5,209,4800,FEMALE
PAL0708,20,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,48.7,15.1,222,5350,MALE
PAL0708,21,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,50.2,14.3,218,5700,MALE
PAL0708,22,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,45.1,14.5,215,5000,FEMALE
PAL0708,23,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,46.5,14.5,213,4400,FEMALE
PAL0708,24,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/27/07,46.3,15.8,215,5050,MALE
PAL0708,25,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/29/07,42.9,13.1,215,5000,FEMALE
PAL0708,26,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/29/07,46.1,15.1,215,5100,MALE
PAL0708,27,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/29/07,44.5,14.3,216,4100,
PAL0708,28,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/29/07,47.8,15,215,5650,MALE
PAL0708,29,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/29/07,48.2,14.3,210,4600,FEMALE
PAL0708,30,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/29/07,50,15.3,220,5550,MALE
PAL0708,32,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/29/07,42.8,14.2,209,4700,FEMALE
PAL0708,33,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,12/03/2007,45.1,14.5,207,5050,FEMALE
PAL0708,34,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,12/03/2007,59.6,17,230,6050,MALE
PAL0809,35,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/13/08,49.1,14.8,220,5150,FEMALE
PAL0809,36,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/13/08,48.4,16.3,220,5400,MALE
PAL0809,37,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/02/2008,42.6,13.7,213,4950,FEMALE
PAL0809,38,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/02/2008,44.4,17.3,219,5250,MALE
PAL0809,39,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/09/2008,44,13.6,208,4350,FEMALE
PAL0809,40,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/09/2008,48.7,15.7,208,5350,MALE
PAL0809,41,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/04/2008,42.7,13.7,208,3950,FEMALE
PAL0809,42,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/04/2008,49.6,16,225,5700,MALE
PAL0809,43,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/04/2008,45.3,13.7,210,4300,FEMALE
PAL0809,44,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/04/2008,49.6,15,216,4750,MALE
PAL0809,45,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/03/2008,50.5,15.9,222,5550,MALE
PAL0809,46,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/03/2008,43.6,13.9,217,4900,FEMALE
PAL0809,47,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/09/2008,45.5,13.9,210,4200,FEMALE
PAL0809,48,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/09/2008,50.5,15.9,225,5400,MALE
PAL0809,49,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/02/2008,44.9,13.3,213,5100,FEMALE
PAL0809,50,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",,,11/02/2008,45.2,15.8,215,5300,MALE
